epoch,train_loss,val_loss,val_dice,val_iou
1,1.0246,0.9117,0.1623,0.095
2,0.8996,0.8738,0.1979,0.1184
3,0.8823,0.8945,0.1807,0.1071
4,0.8641,0.8628,0.2065,0.1266
5,0.846,0.8609,0.2097,0.1275
6,0.8342,0.8276,0.2378,0.1487
7,0.8238,0.831,0.2355,0.1467
8,0.8089,0.8409,0.2292,0.1459
9,0.7997,0.8153,0.2502,0.1569
10,0.7856,0.8092,0.258,0.1662
11,0.7879,0.7827,0.2801,0.183
12,0.7747,0.8168,0.2507,0.1625
13,0.7735,0.7948,0.2687,0.1736
14,0.7644,0.8038,0.2644,0.1701
15,0.7651,0.774,0.2917,0.1922
16,0.7531,0.7797,0.2832,0.1872
17,0.7511,0.7893,0.2738,0.176
18,0.7435,0.7663,0.2964,0.1949
19,0.7272,0.7605,0.3027,0.2046
20,0.7182,0.7599,0.3081,0.2088
21,0.716,0.7437,0.3239,0.2227
22,0.7109,0.7462,0.3172,0.2136
23,0.6974,0.7428,0.3175,0.2152
24,0.702,0.7819,0.3161,0.2266
25,0.6918,0.7422,0.3411,0.2427
26,0.6796,0.7407,0.3273,0.2269
27,0.6762,0.7324,0.3314,0.2291
28,0.6679,0.7899,0.316,0.2344
29,0.66,0.7246,0.3364,0.2336
30,0.6548,0.7429,0.3182,0.2138
31,0.6509,0.7343,0.3275,0.2255
32,0.6566,0.7241,0.3496,0.2486
33,0.6344,0.711,0.3552,0.249
34,0.6331,0.7141,0.3625,0.2594
35,0.6311,0.7338,0.3296,0.2326
36,0.6238,0.7089,0.3585,0.2524
37,0.6115,0.7402,0.3625,0.2707
38,0.6137,0.715,0.355,0.251
39,0.6083,0.7143,0.3517,0.247
40,0.6084,0.7292,0.3523,0.2545
41,0.5981,0.7197,0.3414,0.2405
42,0.5808,0.7477,0.3593,0.2657
43,0.5875,0.7114,0.3514,0.2452
44,0.5937,0.7078,0.3682,0.2649
45,0.5732,0.7131,0.349,0.2464
46,0.5683,0.7279,0.3709,0.2771
47,0.5601,0.7046,0.3675,0.2631
48,0.5588,0.7297,0.3599,0.2646
49,0.5554,0.7009,0.3812,0.2775
50,0.562,0.7085,0.3677,0.2636
